qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore									sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length
AAR35877.1	k127_23631823_6	42.325	456	213	16	1	432	1	430	3.84E-96	298																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_2849356_3	35	440	198	16	1	432	1	360	4.99E-61	205																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_5625337_71	33.18	434	191	15	5	432	3	343	8.88E-53	183																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_5625337_39	33.41	434	190	15	5	432	1	341	9.75E-53	183																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_5625337_72	30.569	422	201	13	14	432	9	341	9.33E-38	143																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_5459267_4	30.118	425	197	15	15	432	13	344	2.21E-36	140																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_2849356_2	29.176	425	205	17	9	429	2	334	8.79E-33	129																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_13028018_1	35.294	272	117	14	165	432	1	217	8.37E-29	116																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAR35877.1	k127_5625337_47	28.641	412	187	15	27	429	22	335	2.83E-28	117																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAN54831.1	k127_24293248_49	21.294	742	413	31	42	669	61	745	1.27E-16	87.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAN54831.1	k127_3712058_3	24.309	362	219	13	43	366	102	446	3.83E-15	81.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAN54831.1	k127_13681359_26	23.651	723	381	38	42	668	52	699	1.32E-14	80.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAN54831.1	k127_3204890_7	26.449	276	152	13	76	310	113	378	3.31E-14	79.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAN54831.1	k127_16242065_1	23.826	596	334	32	24	545	76	625	4.76E-12	72.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
AAN54831.1	k127_12407605_2	22.206	680	374	31	86	659	120	750	0.00000000873	62.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_6983032_18	29.014	355	173	14	368	703	411	705	2.14E-26	118																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_6983032_18	30.169	295	131	14	469	729	149	402	3.79E-15	83.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_18714249_33	26.496	351	161	15	412	702	34	347	1.33E-18	91.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_6817189_1	28.626	262	110	12	480	702	1	224	6.96E-17	84																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_5785405_6	25.301	415	209	16	326	705	379	727	2.24E-15	84																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_5785405_6	25.385	390	211	20	362	728	86	418	1.3E-11	71.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_9378059_1	26.79	377	164	18	366	701	78	383	5.74E-15	81.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_7089374_1	29.096	354	170	18	381	705	356	657	1.4E-14	81.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_7089374_1	24.523	367	177	16	362	702	29	321	3.2E-13	76.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_22780366_1	24.931	361	183	16	368	705	277	572	7.58E-14	78.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_10306324_3	26.519	362	174	18	368	705	388	681	4.62E-13	76.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_10306324_3	23.757	362	193	15	362	703	67	365	3.94E-11	70.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_1253719_1	26.053	380	168	18	363	702	57	363	6.72E-13	75.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_1253719_1	25.862	290	135	14	331	602	349	576	7.33E-10	65.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_6383754_4	26.761	355	166	19	368	703	195	474	3.09E-12	73.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_6383754_4	33.696	92	52	2	611	701	81	164	0.000000739	55.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_17744640_2	26.146	371	161	20	369	703	84	377	5.57E-11	68.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_7116884_1	24.451	319	176	15	363	658	82	358	0.0000000618	58.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943369.1	k127_19495558_6	28.992	238	100	15	365	593	407	584	0.000000114	58.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_6983032_18	29.009	424	206	18	333	727	348	705	3.17E-27	121																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_6983032_18	28.502	414	194	24	372	753	59	402	8.57E-16	85.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_18714249_33	32.129	249	118	11	501	726	127	347	2.7E-16	84.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
