Bin Id,Completeness,Contamination,# contigs,Largest contig,Total length,N50,L50
maxbin_bin.577,98.28,1.72,23,857166,3675727,599905,3
metabat_bin.448,87.93,0,14,365429,1212296,167221,3
maxbin_bin.525,86.21,1.72,89,323163,3785388,128483,11
vamb_S1C6592,92.24,0,42,251072,2693268,91369,10
metabat_bin.80,92.24,0,84,243266,2754617,86004,9
metabat_bin.127,94.83,0,167,184028,4735459,75069,23
metabat_bin.381,93.97,1.72,80,242519,2904165,72444,12
metabat_bin.51,100,3.92,145,287785,3669151,67049,15
metabat_bin.11,100,1.72,147,153117,3777217,63577,19
metadecoder_kaloevig.metadecoder.123_sub,86.83,0.86,172,142471,5448986,58926,28
vamb_S1C4118,88.32,3.45,85,309857,3553798,58157,18
maxbin_bin.95_sub,89.03,0.78,156,181734,4223016,58075,24
vamb_S1C5430,93.97,1.72,92,213363,4091858,57891,20
maxbin_bin.213,95.14,1.88,129,266523,3598024,57884,19
vamb_S1C9779_sub,61.29,0,83,132592,3150102,56596,20
vamb_S1C3259,98.28,0,95,159472,2997440,53946,19
metabat_bin.19,98.28,1.72,242,162301,7192706,53009,44
vamb_S1C2758,91.38,0,77,216232,3282258,52465,20
metabat_bin.168,89.66,1.72,78,133981,2023298,51550,13
metabat_bin.603,89.66,1.72,89,99065,2705021,51179,19
maxbin_bin.498,95.85,3.45,149,204157,3183483,50797,17
metabat_bin.153,98.28,5.17,101,105250,2007116,49876,15
metabat_bin.446,88.97,2.51,161,156764,3715955,49253,25
vamb_S1C4953,100,0,171,149143,5371656,47000,36
metabat_bin.116,96.39,3.45,222,147883,3533325,46514,22
metabat_bin.596,94.83,0,179,112059,4217691,46421,29
metabat_bin.532,98.28,2.59,84,199925,1876802,45902,10
metadecoder_kaloevig.metadecoder.920_sub,91.38,0,116,113843,2877455,44569,21
metabat_bin.33,94.83,1.72,280,163129,5236512,42057,38
metabat_bin.63,96.55,5.33,81,112784,1645799,39454,14
metabat_bin.492_sub,96.55,0.86,145,139799,3548937,39288,27
vamb_S1C12957,81.97,0,73,106846,2150475,38610,17
maxbin_bin.128_sub,82.76,8.62,233,128670,3863717,38217,36
metadecoder_kaloevig.metadecoder.1157,98.28,5.17,143,198507,2597182,37823,18
maxbin_bin.243,100,0,211,143200,3501940,37820,27
maxbin_bin.87_sub,91.38,3.95,196,109379,3682254,37522,34
metadecoder_kaloevig.metadecoder.259,84.17,1.88,172,182486,3522856,37333,31
metabat_bin.18,100,0,197,103613,3144746,36930,29
vamb_S1C5052,95.69,0,123,131693,3456574,36820,28
vamb_S1C13901,73.98,0.86,102,103450,2460273,36657,23
maxbin_bin.147,96.55,3.76,191,181641,3955104,36236,30
vamb_S1C8489,82.76,0,97,88040,2654240,36022,28
metabat_bin.223,90.91,0,190,117077,3184724,35744,28
vamb_S1C6857,85.89,0,51,72763,1005416,34608,10
vamb_S1C2981_sub,86.78,5.17,165,165938,3925948,34573,34
vamb_S1C3943,82.76,0,41,83177,914766,32319,10
maxbin_bin.29,96.55,6.9,188,145488,3187112,31554,27
vamb_S1C2905,81.03,3.45,116,81879,2920793,31132,33
maxbin_bin.657,98.28,0,255,118217,4085631,30776,40
vamb_S1C2885,68.81,0.86,94,77520,2498389,30432,30
metadecoder_kaloevig.metadecoder.565,79.31,3.45,116,82199,2792761,30427,27
metabat_bin.162,84.48,6.32,221,149341,3345483,30383,33
metabat_bin.419,95.69,1.72,393,98420,5473676,29777,57
metadecoder_kaloevig.metadecoder.591_sub,95.69,2.59,445,88970,7843383,29729,88
metabat_bin.167,89.66,0,50,66823,901443,29518,10
metabat_bin.248,98.28,1.72,262,121730,3399117,29318,34
metadecoder_kaloevig.metadecoder.1508,96.55,1.72,239,314833,4237817,29023,35
metabat_bin.391,93.89,3.79,274,99714,3922373,28984,41
vamb_S1C7378,70.69,0,85,68987,2033899,28980,25
metabat_bin.347,76.96,4.31,152,101098,1912047,28901,22
metadecoder_kaloevig.metadecoder.700,93.1,3.45,292,136526,3488275,28323,29
metadecoder_kaloevig.metadecoder.514,89.5,0,122,123497,2449065,27855,27
metadecoder_kaloevig.metadecoder.1633,96.55,0.86,154,92110,3018838,27530,34
vamb_S1C5051,89.66,0,168,101204,3536407,27320,40
metabat_bin.474,87.07,5.52,332,116488,3951683,26743,41
maxbin_bin.542,91.38,0.16,210,84043,3004315,26424,33
metabat_bin.409,98.28,0.16,182,68180,2817959,25878,35
vamb_S1C5227,75.86,0,136,76514,2720574,25630,35
maxbin_bin.114,87.93,5.33,398,109419,6091574,25439,70
vamb_S1C4362,75.86,0.86,133,66729,2762959,25351,39
metabat_bin.287,93.1,0.47,325,138530,4615301,25021,52
metabat_bin.28,100,6.52,360,105846,5480739,24881,66
metabat_bin.569,98.28,0.34,334,85624,4263307,24534,51
metabat_bin.433_sub,87.24,5.17,190,86128,2783568,24021,35
metabat_bin.311,100,3.61,303,90381,3568537,23523,42
maxbin_bin.121_sub,76.65,7.05,146,83833,2112080,22270,26
metabat_bin.580,98.28,1.88,347,97420,4719494,22080,60
vamb_S1C2728,98.28,1.72,274,101618,3974400,21511,58
metabat_bin.143,98.28,3.45,284,101623,2894344,21197,34
vamb_S1C13817,75,0,79,59812,1429407,20903,23
metadecoder_kaloevig.metadecoder.1208_sub,100,0,216,162915,3215280,20853,45
metabat_bin.30_sub,99.53,5.17,138,54178,1693859,20371,28
maxbin_bin.326,96.55,0,299,92068,3529367,20363,46
vamb_S1C9541,77.43,0,56,71702,782798,19957,12
metabat_bin.455_sub,96.55,2.74,308,104589,3358037,19649,43
metabat_bin.163,96.55,5.17,339,70167,3871838,19318,61
maxbin_bin.178,91.22,5.17,243,68503,2575200,19270,42
maxbin_bin.615_sub,89.5,8.62,284,83003,3410701,18773,57
metabat_bin.184_sub,78.46,3.61,216,82390,2630846,18395,41
metadecoder_kaloevig.metadecoder.327_sub,86.22,3.45,341,93813,3983456,18117,61
vamb_S1C4793,97.41,1.72,347,66377,4015184,18088,69
maxbin_bin.186_sub,57.29,5.17,295,76732,2775691,17946,45
maxbin_bin.10,81.9,1.72,280,78889,3174270,17796,52
metabat_bin.286,88.87,0,344,60038,4344151,17757,83
metabat_bin.194,80.17,1.72,339,90639,3955633,17303,77
vamb_S1C3912,76.85,1.72,259,52589,3608354,17145,69
metabat_bin.152,98.28,4.31,193,52889,2405987,17070,45
metabat_bin.281,87.93,1.88,258,81981,2523101,16755,49
metabat_bin.189,89.66,1.72,266,97532,2867033,16752,53
metadecoder_kaloevig.metadecoder.568_sub,75.91,8.62,245,53238,2996145,16508,55
metadecoder_kaloevig.metadecoder.823,87.93,0,289,118285,3311512,16460,61
metadecoder_kaloevig.metadecoder.180,72.41,3.45,68,49846,817872,16431,15
maxbin_bin.107,91.38,1.72,364,63160,3745902,16094,74
metabat_bin.567,73.45,0.16,326,73737,3246818,16090,62
metabat_bin.10,93.1,3.45,380,93950,3385874,15648,51
maxbin_bin.9,79.31,2.19,395,72422,3801828,15631,64
metabat_bin.130_sub,96.21,5.33,352,91489,3138672,15618,57
maxbin_bin.300,96.55,1.72,382,86665,3974768,15585,71
maxbin_bin.285,94.83,3.79,310,60083,3113132,15506,64
vamb_S1C8497,77.59,0,203,54943,2528295,15438,54
metadecoder_kaloevig.metadecoder.1507,98.28,2.66,382,74681,4034427,15424,77
vamb_S1C3893_sub,81.03,5.17,175,55968,1956445,15227,42
metabat_bin.120,98.28,2.35,826,59575,7917769,15020,162
metabat_bin.559,96.55,3.61,445,81555,3802715,15010,68
metabat_bin.197,98.28,4.62,299,90178,2705402,14942,46
metabat_bin.526,96.24,6.19,416,53776,3502404,14892,74
metadecoder_kaloevig.metadecoder.852_sub,61.44,5.17,292,46915,3325552,14820,73
metadecoder_kaloevig.metadecoder.1052_sub,80.25,1.72,326,65970,3322877,14672,71
metabat_bin.235_sub,67.87,7.4,226,57836,1971713,14366,42
metadecoder_kaloevig.metadecoder.460_sub,89.66,1.72,304,63178,3080386,14114,66
metadecoder_kaloevig.metadecoder.365,87.07,1.72,562,79470,6442667,14054,134
maxbin_bin.518_sub,93.1,6.9,331,62845,2859642,13777,57
vamb_S1C12808,89.66,3.61,193,50214,1987430,13747,49
metabat_bin.278,96.55,3.61,405,60909,3591346,13188,83
metabat_bin.456,61.21,0.47,166,41239,1737299,13179,42
metabat_bin.609,98.28,3.45,793,64631,6592835,12858,150
metadecoder_kaloevig.metadecoder.1436_sub,50.16,5.17,137,35934,1568389,12577,40
maxbin_bin.609_sub,94.83,5.33,420,55892,3469495,12340,83
metadecoder_kaloevig.metadecoder.943_sub,65.52,3.45,209,45245,2261408,12009,62
maxbin_bin.557_sub,90.36,1.72,464,60067,3790876,11755,87
metadecoder_kaloevig.metadecoder.203_sub,76.33,2.76,369,37854,3459720,11740,97
maxbin_bin.665,98.28,5.33,397,45301,3127935,11629,89
metadecoder_kaloevig.metadecoder.1574,77.12,0,419,34577,3770360,10976,112
metabat_bin.302,60.66,1.57,166,31624,1330667,10806,45
metabat_bin.479,94.83,0,453,41181,3410751,10802,98
maxbin_bin.40,93.1,0,374,41277,2987271,10759,90
metadecoder_kaloevig.metadecoder.505,70.77,5.96,471,36545,4104138,10698,125
metadecoder_kaloevig.metadecoder.1329_sub,87.3,5.17,290,49324,2420515,10698,72
metabat_bin.513,57.76,0,396,31158,3325675,10658,106
metabat_bin.361,96.55,0.16,506,39195,3396337,10581,105
metabat_bin.124,96.55,2.59,581,96970,4095185,10455,112
metadecoder_kaloevig.metadecoder.1674,54.31,1.72,77,35473,655053,10423,21
metabat_bin.410,94.25,0,652,59861,4457604,10370,114
maxbin_bin.654,91.22,7.92,499,59300,3683105,10326,103
metabat_bin.562,91.22,1.72,1078,43934,7688797,10298,219
metabat_bin.12,89.66,4.66,425,75261,3073247,10256,80
metadecoder_kaloevig.metadecoder.1427,60.34,0.86,51,42967,514673,10073,15
metabat_bin.402_sub,77.96,8.62,596,46312,3599135,10039,96
metadecoder_kaloevig.metadecoder.302,60.19,3.62,137,28787,1073989,10034,39
maxbin_bin.290_sub,78.21,3.45,554,49176,3807661,9960,112
maxbin_bin.38_sub,95.4,5.17,379,43575,2682175,9919,86
metabat_bin.238_sub,82.76,5.17,196,49846,1214555,9860,31
metadecoder_kaloevig.metadecoder.225_sub,82.88,0,1003,66750,7795685,9627,238
metadecoder_kaloevig.metadecoder.230,96.63,3.61,800,40457,6037513,9458,214
maxbin_bin.49,96.55,6.9,407,46883,2843957,9429,93
metabat_bin.447_sub,93.1,4.39,803,46055,4921921,9255,159
metabat_bin.447,93.1,4.39,806,46055,4934428,9228,160
maxbin_bin.136,96.63,3.61,924,40457,6358800,9024,232
maxbin_bin.591_sub,63.79,8.62,394,35776,2429702,8985,82
vamb_S1C4038_sub,92.08,4.31,838,43256,5913928,8812,220
metadecoder_kaloevig.metadecoder.627,91.38,2.74,427,37927,2947013,8523,106
maxbin_bin.54,80.17,1.88,469,39277,3123276,8358,109
metabat_bin.73,94.83,1.72,890,58078,5739783,8331,203
metabat_bin.106_sub,91.93,8.78,550,67872,3225230,8290,113
metabat_bin.438,85.19,4.47,531,33754,3260718,8274,128
metabat_bin.230_sub,72.1,3.45,478,49875,2860324,7932,103
metabat_bin.208_sub,65.44,2.59,456,29300,2656598,7820,107
metadecoder_kaloevig.metadecoder.766,72.88,0,651,38113,4475717,7738,171
metadecoder_kaloevig.metadecoder.652,82.45,8.62,611,49875,3917149,7449,160
maxbin_bin.662,84.48,0,797,43156,4741154,7381,192
maxbin_bin.652,77.81,3.45,443,32577,2526325,7169,109
metabat_bin.485,81.61,5.64,559,78031,2869244,7014,116
metabat_bin.509_sub,70.3,5,553,30627,3006085,6897,137
metadecoder_kaloevig.metadecoder.403_sub,75,4.31,515,30627,3081146,6866,144
metadecoder_kaloevig.metadecoder.1256_sub,61.11,3.76,506,34449,3112557,6840,154
metadecoder_kaloevig.metadecoder.890,93.1,1.72,344,22815,2073453,6820,102
metabat_bin.485_sub,76.44,5.64,539,78031,2693045,6730,110
