 "qseqid "," sseqid",pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
AAR35877.1,k127_22486653_8,44.084,431,196,12,26,432,21,430,2.6E-94,293
AAR35877.1,k127_20093310_3,40.183,438,205,14,1,432,1,387,8.07E-83,262
AAR35877.1,k127_21160714_10,32.723,437,210,14,1,432,1,358,1.96E-60,203
AAR35877.1,k127_20399550_6,33.871,434,187,16,5,432,1,340,2.14E-55,190
AAR35877.1,k127_15847550_21,33.18,434,191,15,5,432,3,343,9.23E-53,183
AAR35877.1,k127_9103412_77,30.29,449,211,17,6,432,3,371,6.21E-41,152
AAR35877.1,k127_21160714_11,31.308,428,191,16,11,431,15,346,1.82E-39,148
AAR35877.1,k127_15847550_20,30.569,422,201,13,14,432,9,341,9.7E-38,143
AAR35877.1,k127_1879335_3,30.118,425,197,15,15,432,13,344,2.81E-36,139
AAR35877.1,k127_9103412_86,28.868,433,205,14,3,429,18,353,5.66E-32,128
AAR35877.1,k127_13615122_1,27.981,411,199,16,24,429,25,343,2.74E-30,123
AAR35877.1,k127_19312611_3,28.814,413,193,20,24,429,25,343,9.79E-30,121
AAR35877.1,k127_12991654_9,28.883,412,186,15,27,429,22,335,1.42E-28,118
AAR35877.1,k127_22012286_10,29.396,364,178,13,24,376,20,315,4.58E-28,117
AAR35877.1,k127_9309912_1,38.144,194,91,7,5,185,1,178,5.99E-27,110
AAR35877.1,k127_22012286_1,34.615,208,91,8,228,432,5,170,6.8E-20,89.7
AAR35877.1,k127_12991654_1,36.464,181,75,8,253,432,4,145,9.83E-20,89
AAR35877.1,k127_20093310_4,41.667,120,46,5,5,120,9,108,1.65E-16,78.2
AAR35877.1,k127_25344779_1,28.135,327,124,15,130,432,11,250,5.68E-13,72
AAR35877.1,k127_1734360_3,24.272,412,207,18,3,371,7,356,0.0000000414,58.5
AAN54831.1,k127_7906142_40,30.532,357,177,19,18,311,1,349,8.24E-22,103
AAN54831.1,k127_9102173_28,24.862,362,209,16,45,356,62,410,1.62E-21,103
AAN54831.1,k127_4493366_4,23.79,744,414,35,24,660,21,718,2.25E-21,102
AAN54831.1,k127_20173181_41,23.477,673,370,29,43,618,102,726,3.89E-16,85.9
AAN54831.1,k127_4751676_1,22.981,718,411,34,42,659,52,727,1.24E-13,77.8
AAN54831.1,k127_15374309_4,23.386,697,408,31,38,640,91,755,3.3E-12,73.6
AAN54831.1,k127_6978644_16,24.832,298,161,15,37,286,25,307,1.18E-10,68.6
AAN54831.1,k127_300917_5,26.549,226,142,8,164,367,184,407,9.18E-10,65.5
AAN54831.1,k127_2440087_4,26.506,166,82,6,176,310,222,378,0.0000000821,59.3
WP_010943369.1,k127_10299799_8,28.226,372,169,18,368,702,392,702,2.24E-21,102
WP_010943369.1,k127_10299799_8,25.25,400,185,18,362,719,47,374,3E-13,77
WP_010943369.1,k127_11133209_4,26.44,382,205,14,363,727,255,577,1.6E-18,94.4
WP_010943369.1,k127_11133209_4,27.515,338,184,15,381,703,615,906,4.68E-16,86.3
WP_010943369.1,k127_17980404_1,27.595,395,189,17,363,728,106,432,3.74E-18,92.8
WP_010943369.1,k127_17980404_1,23.67,376,159,16,368,705,442,727,9.04E-11,68.9
WP_010943369.1,k127_23577461_8,24.512,461,210,21,303,728,63,420,7.55E-18,91.7
WP_010943369.1,k127_23577461_8,23.155,393,186,17,368,723,430,743,2.9E-11,70.5
WP_010943369.1,k127_19828999_3,25.845,414,208,18,326,705,10,358,2.02E-16,85.1
WP_010943369.1,k127_7088665_1,26.448,397,200,18,362,728,577,911,6.62E-16,85.9
WP_010943369.1,k127_7088665_1,26.331,357,194,16,368,705,921,1227,7.99E-15,82.4
WP_010943369.1,k127_13945501_17,25.936,374,172,17,363,702,45,347,4.54E-15,80.9
WP_010943369.1,k127_8680681_1,31.174,247,124,12,477,702,146,367,8.57E-15,80.5
WP_010943369.1,k127_3290624_1,24.654,361,184,16,368,705,291,586,2.95E-13,76.6
WP_010943369.1,k127_5396208_2,24.372,398,219,17,331,705,376,714,3.84E-12,73.6
WP_010943369.1,k127_5396208_2,24.324,407,175,21,366,728,93,410,0.0000000292,60.8
WP_010943369.1,k127_3983656_3,27.551,294,130,16,451,715,16,255,0.00000000411,61.6
