Bin Id,classification,Completeness,Contamination,AvgDepth,iron_oxidation,iron_reduction,OmcS,PioA,OmcZ,OmcC,OmcB,MtrC
vamb_S1C2946_sub,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,88.79,0,445.111980197461,0,3,0,0,0,0,0,0
maxbin_bin.525,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalomonadales;f__Thiohalomonadaceae;g__SLDE01;s__,86.21,1.72,406.658168539326,1,4,0,0,0,0,0,0
metabat_bin.189,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema_1;s__,89.66,1.72,283.399129268293,0,3,0,0,0,0,0,0
maxbin_bin.40,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__;s__,93.1,0,257.312307486631,0,5,0,0,0,0,0,0
metabat_bin.479,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,94.83,0,252.086558711217,0,3,0,0,0,0,0,0
maxbin_bin.7_sub,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__JABZFP01;s__,54.98,0.86,229.320266968326,0,5,0,0,0,0,0,0
metabat_bin.603,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema_2;s__,89.66,1.72,145.374505617978,1,1,0,0,0,0,0,0
maxbin_bin.9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a_1;s__,79.31,2.19,127.442198481013,0,6,0,0,0,0,0,0
maxbin_bin.542,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Polycyclovorans;s__Polycyclovorans sp002706265,91.38,0.16,123.861074761905,0,8,0,0,0,0,0,0
metabat_bin.12,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalobacterales;f__UBA9214;g__UBA9214;s__,89.66,4.66,111.311486684073,0,7,0,0,0,0,0,0
maxbin_bin.10,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a_2;s__,81.9,1.72,109.583764285714,0,5,0,0,0,0,0,0
metabat_bin.197,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__,98.28,4.62,105.223589513109,0,2,0,0,0,0,0,0
maxbin_bin.38_sub,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea_1;s__,95.4,5.17,91.1659372031662,0,4,0,0,0,0,0,0
maxbin_bin.49,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__GCA-2746605;s__,96.55,6.9,90.9470179361179,1,9,0,0,0,0,0,0
