Bin Id,classification,Completeness,Contamination,AvgDepth,iron_oxidation,iron_reduction,OmcB,OmcS,PioA,OmcZ,OmcC,MtrC
bin.11,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229_2;g__;s__,89.66,13.79,474.453648648649,1,6,,,,0,,0
bin.5,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sedimenticola;s__Sedimenticola thiotaurini_A_1,74.14,0,194.220722222222,0,4,,,,0,,0
bin.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sedimenticola;s__Sedimenticola thiotaurini_A_2,10.34,0,140.51975,0,0,,,,0,,0
bin.9,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__Magnetovibrio_1;s__,89.66,0,130.693055555556,5,4,,,,0,,0
bin.17,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__Magnetovibrio_2;s__,89.66,0,80.3785671875,4,4,,,,0,,0
bin.37,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,98.28,0,55.9522201492537,0,4,,,,0,,0
bin.7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__SZUA-116;s__,20.69,0,50.7444594202899,1,0,0,0,1,0,0,0
bin.52,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__SZUA-116;s__,59.33,3.45,36.8072374545455,1,4,,,,0,,0
bin.55,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__BRH-c54;s__,85.2,0,33.8819445646438,0,4,,,,0,,0
bin.46,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1924;s__,15.52,0,28.0765,0,4,,,,0,,0
bin.16,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__,57.84,0,27.6248033840304,1,5,0,0,3,0,0,0
bin.39,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1924;s__,70.69,0,24.8070304347826,0,0,,,,0,,0
bin.44,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229_1;g__;s__,91.38,57.29,22.1876563722026,4,15,,,,0,,0
bin.47,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__SZUA-116;s__,12.93,1.72,22.074164556962,0,1,,,,0,,0
bin.14,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__Terasakiella;s__,98.28,0,18.7121306818182,2,3,,,,0,,0
bin.19,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__,75.1,45.95,16.3461324293785,0,9,,,,0,,0
bin.20,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Sunxiuqinia;s__,84.33,2.82,15.7200925670498,1,9,0,0,0,0,1,0
